Description,Category
"Violence in certain areas has escalated, with frequent clashes between groups causing unrest.",Police
"Garbage is not being collected regularly, leading to unsanitary conditions in the neighborhood.",Municipal
"Violence in certain areas has escalated, with frequent clashes between groups causing unrest.",Police
Road accidents have increased due to lack of proper traffic signals and potholes on the main road.,Public Works Department
"Roads in the area are severely damaged, causing frequent accidents and inconvenience to commuters.",Public Works Department
"Issues related to the Waqf Board have emerged, involving encroachments and mismanagement of properties.",Development Authority
Increased risk of theft and accidents at night.",Police
"Air pollution levels are extremely high due to nearby industrial activities, affecting public health.",CM Office (Miscellaneous)
"Land mafia activities have been observed, involving illegal possession of public and private lands.",Development Authority
"Reports of rape and sexual violence have shaken the community, demanding immediate action.",Police
"Issues related to the Waqf Board have emerged, involving encroachments and mismanagement of properties.",Development Authority
"Water supply is inconsistent, and the water quality is poor, posing health risks to residents.",Municipal
"Public transport services are irregular, causing difficulties for daily commuters.",CM Office (Miscellaneous)
"Cases of road rage have been reported, highlighting the need for stricter traffic regulations.",Public Works Department
"The drainage system is inadequate, causing waterlogging during rains and spreading diseases.",Municipal
"Reports of rape and sexual violence have shaken the community, demanding immediate action.",Police
"Water supply is inconsistent, and the water quality is poor, posing health risks to residents.",Municipal
"The drainage system is inadequate, causing waterlogging during rains and spreading diseases.",Municipal
"The drainage system is inadequate, causing waterlogging during rains and spreading diseases.",Municipal
"Theft incidents have increased in residential areas, and police patrolling is inadequate.",Police
"Public transport services are irregular, causing difficulties for daily commuters.",CM Office (Miscellaneous)
"Roads in the area are severely damaged, causing frequent accidents and inconvenience to commuters.",Public Works Department
"The drainage system is inadequate, causing waterlogging during rains and spreading diseases.",Municipal
"Theft incidents have increased in residential areas, and police patrolling is inadequate.",Police
"Cyber frauds are on the rise, with victims losing significant amounts of money to scams.",CM Office (Miscellaneous)
"Reports of rape and sexual violence have shaken the community, demanding immediate action.",Police
"Schools in the district are facing a shortage of teachers, affecting the quality of education.",CM Office (Miscellaneous)
"Reports of rape and sexual violence have shaken the community, demanding immediate action.",Police
"Public transport services are irregular, causing difficulties for daily commuters.",CM Office (Miscellaneous)
Unauthorized money lenders are harassing locals with exorbitant interest rates and threats.,CM Office (Miscellaneous)
"Illegal encroachments are obstructing public spaces and roads, creating traffic congestion.",Development Authority
Unauthorized money lenders are harassing locals with exorbitant interest rates and threats.,CM Office (Miscellaneous)
Increased risk of theft and accidents at night.",Police
"Water supply is inconsistent, and the water quality is poor, posing health risks to residents.",Municipal
Unauthorized money lenders are harassing locals with exorbitant interest rates and threats.,CM Office (Miscellaneous)
"Cyber frauds are on the rise, with victims losing significant amounts of money to scams.",CM Office (Miscellaneous)
Frequent chain snatching incidents in the area have created fear among residents.,CM Office (Miscellaneous)
"Illegal encroachments are obstructing public spaces and roads, creating traffic congestion.",Development Authority
"Theft incidents have increased in residential areas, and police patrolling is inadequate.",Police
"Illegal encroachments are obstructing public spaces and roads, creating traffic congestion.",Development Authority
"Cyber frauds are on the rise, with victims losing significant amounts of money to scams.",CM Office (Miscellaneous)
Road accidents have increased due to lack of proper traffic signals and potholes on the main road.,Public Works Department
"Roads in the area are severely damaged, causing frequent accidents and inconvenience to commuters.",Public Works Department
"Garbage is not being collected regularly, leading to unsanitary conditions in the neighborhood.",Municipal
"Public transport services are irregular, causing difficulties for daily commuters.",CM Office (Miscellaneous)
"Garbage is not being collected regularly, leading to unsanitary conditions in the neighborhood.",Municipal
"Water supply is inconsistent, and the water quality is poor, posing health risks to residents.",Municipal
"Schools in the district are facing a shortage of teachers, affecting the quality of education.",CM Office (Miscellaneous)
Unauthorized money lenders are harassing locals with exorbitant interest rates and threats.,CM Office (Miscellaneous)
Frequent chain snatching incidents in the area have created fear among residents.,CM Office (Miscellaneous)
"Land mafia activities have been observed, involving illegal possession of public and private lands.",Development Authority
Road accidents have increased due to lack of proper traffic signals and potholes on the main road.,Public Works Department
"Roads in the area are severely damaged, causing frequent accidents and inconvenience to commuters.",Public Works Department
"Illegal encroachments are obstructing public spaces and roads, creating traffic congestion.",Development Authority
"Violence in certain areas has escalated, with frequent clashes between groups causing unrest.",Police
"Schools in the district are facing a shortage of teachers, affecting the quality of education.",CM Office (Miscellaneous)
"The drainage system is inadequate, causing waterlogging during rains and spreading diseases.",Municipal
"Issues related to the Waqf Board have emerged, involving encroachments and mismanagement of properties.",Development Authority
"Cases of road rage have been reported, highlighting the need for stricter traffic regulations.",Public Works Department
"Theft incidents have increased in residential areas, and police patrolling is inadequate.",Police
"Cyber frauds are on the rise, with victims losing significant amounts of money to scams.",CM Office (Miscellaneous)
"Violence in certain areas has escalated, with frequent clashes between groups causing unrest.",Police
"Cyber frauds are on the rise, with victims losing significant amounts of money to scams.",CM Office (Miscellaneous)
"Schools in the district are facing a shortage of teachers, affecting the quality of education.",CM Office (Miscellaneous)
Road accidents have increased due to lack of proper traffic signals and potholes on the main road.,Public Works Department
"Theft incidents have increased in residential areas, and police patrolling is inadequate.",Police
"Air pollution levels are extremely high due to nearby industrial activities, affecting public health.",CM Office (Miscellaneous)
Road accidents have increased due to lack of proper traffic signals and potholes on the main road.,Public Works Department
"Cases of road rage have been reported, highlighting the need for stricter traffic regulations.",Public Works Department
"Issues related to the Waqf Board have emerged, involving encroachments and mismanagement of properties.",Development Authority
"Theft incidents have increased in residential areas, and police patrolling is inadequate.",Police
"Water supply is inconsistent, and the water quality is poor, posing health risks to residents.",Municipal
"Issues related to the Waqf Board have emerged, involving encroachments and mismanagement of properties.",Development Authority
"Theft incidents have increased in residential areas, and police patrolling is inadequate.",Police
"Air pollution levels are extremely high due to nearby industrial activities, affecting public health.",CM Office (Miscellaneous)
"Water supply is inconsistent, and the water quality is poor, posing health risks to residents.",Municipal
Road accidents have increased due to lack of proper traffic signals and potholes on the main road.,Public Works Department
"Garbage is not being collected regularly, leading to unsanitary conditions in the neighborhood.",Municipal
"The drainage system is inadequate, causing waterlogging during rains and spreading diseases.",Municipal
Increased risk of theft and accidents at night.",Police
Increased risk of theft and accidents at night.",Police
Road accidents have increased due to lack of proper traffic signals and potholes on the main road.,Public Works Department
"Cases of road rage have been reported, highlighting the need for stricter traffic regulations.",Public Works Department
"Illegal encroachments are obstructing public spaces and roads, creating traffic congestion.",Development Authority
"Roads in the area are severely damaged, causing frequent accidents and inconvenience to commuters.",Public Works Department
Unauthorized money lenders are harassing locals with exorbitant interest rates and threats.,CM Office (Miscellaneous)
"Land mafia activities have been observed, involving illegal possession of public and private lands.",Development Authority
Road accidents have increased due to lack of proper traffic signals and potholes on the main road.,Public Works Department
"Reports of rape and sexual violence have shaken the community, demanding immediate action.",Police
"Roads in the area are severely damaged, causing frequent accidents and inconvenience to commuters.",Public Works Department
"Land mafia activities have been observed, involving illegal possession of public and private lands.",Development Authority
"Issues related to the Waqf Board have emerged, involving encroachments and mismanagement of properties.",Development Authority
"Cases of road rage have been reported, highlighting the need for stricter traffic regulations.",Public Works Department
"Land mafia activities have been observed, involving illegal possession of public and private lands.",Development Authority
"Cases of road rage have been reported, highlighting the need for stricter traffic regulations.",Public Works Department
"Garbage is not being collected regularly, leading to unsanitary conditions in the neighborhood.",Municipal
"The drainage system is inadequate, causing waterlogging during rains and spreading diseases.",Municipal
Unauthorized money lenders are harassing locals with exorbitant interest rates and threats.,CM Office (Miscellaneous)
"Air pollution levels are extremely high due to nearby industrial activities, affecting public health.",CM Office (Miscellaneous)
"The local hospital lacks adequate medical facilities and staff, resulting in delayed treatments.",CM Office (Miscellaneous)
"Cyber frauds are on the rise, with victims losing significant amounts of money to scams.",CM Office (Miscellaneous)
"Public transport services are irregular, causing difficulties for daily commuters.",CM Office (Miscellaneous)
Increased risk of theft and accidents at night.",Police
"Theft incidents have increased in residential areas, and police patrolling is inadequate.",Police
"Land mafia activities have been observed, involving illegal possession of public and private lands.",Development Authority
"Cyber frauds are on the rise, with victims losing significant amounts of money to scams.",CM Office (Miscellaneous)
Unauthorized money lenders are harassing locals with exorbitant interest rates and threats.,CM Office (Miscellaneous)
"Reports of rape and sexual violence have shaken the community, demanding immediate action.",Police
"The local hospital lacks adequate medical facilities and staff, resulting in delayed treatments.",CM Office (Miscellaneous)
"Cases of road rage have been reported, highlighting the need for stricter traffic regulations.",Public Works Department
"Theft incidents have increased in residential areas, and police patrolling is inadequate.",Police
"Garbage is not being collected regularly, leading to unsanitary conditions in the neighborhood.",Municipal
Road accidents have increased due to lack of proper traffic signals and potholes on the main road.,Public Works Department
"The drainage system is inadequate, causing waterlogging during rains and spreading diseases.",Municipal
"Violence in certain areas has escalated, with frequent clashes between groups causing unrest.",Police
"Theft incidents have increased in residential areas, and police patrolling is inadequate.",Police
"Reports of rape and sexual violence have shaken the community, demanding immediate action.",Police
"Schools in the district are facing a shortage of teachers, affecting the quality of education.",CM Office (Miscellaneous)
"Land mafia activities have been observed, involving illegal possession of public and private lands.",Development Authority
"Land mafia activities have been observed, involving illegal possession of public and private lands.",Development Authority
"The local hospital lacks adequate medical facilities and staff, resulting in delayed treatments.",CM Office (Miscellaneous)
"Land mafia activities have been observed, involving illegal possession of public and private lands.",Development Authority
"The drainage system is inadequate, causing waterlogging during rains and spreading diseases.",Municipal
"Air pollution levels are extremely high due to nearby industrial activities, affecting public health.",CM Office (Miscellaneous)
"The drainage system is inadequate, causing waterlogging during rains and spreading diseases.",Municipal
"Water supply is inconsistent, and the water quality is poor, posing health risks to residents.",Municipal
"Land mafia activities have been observed, involving illegal possession of public and private lands.",Development Authority
"Cyber frauds are on the rise, with victims losing significant amounts of money to scams.",CM Office (Miscellaneous)
Road accidents have increased due to lack of proper traffic signals and potholes on the main road.,Public Works Department
Unauthorized money lenders are harassing locals with exorbitant interest rates and threats.,CM Office (Miscellaneous)
"Land mafia activities have been observed, involving illegal possession of public and private lands.",Development Authority
"Garbage is not being collected regularly, leading to unsanitary conditions in the neighborhood.",Municipal
"Theft incidents have increased in residential areas, and police patrolling is inadequate.",Police
"Water supply is inconsistent, and the water quality is poor, posing health risks to residents.",Municipal
"Roads in the area are severely damaged, causing frequent accidents and inconvenience to commuters.",Public Works Department
"Cyber frauds are on the rise, with victims losing significant amounts of money to scams.",CM Office (Miscellaneous)
"Cases of road rage have been reported, highlighting the need for stricter traffic regulations.",Public Works Department
"Theft incidents have increased in residential areas, and police patrolling is inadequate.",Police
"Reports of rape and sexual violence have shaken the community, demanding immediate action.",Police
"Water supply is inconsistent, and the water quality is poor, posing health risks to residents.",Municipal
"Violence in certain areas has escalated, with frequent clashes between groups causing unrest.",Police
"Schools in the district are facing a shortage of teachers, affecting the quality of education.",CM Office (Miscellaneous)
Unauthorized money lenders are harassing locals with exorbitant interest rates and threats.,CM Office (Miscellaneous)
